sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,brand_logo,cake_type,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,flowers_quantity,free_gift,gallery,gift_message_available,has_options,image,image_label,is_imported,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,note,options_container,page_layout,price,required_options,short_description,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,teddy_size,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
8,,Cake,simple,,Default Category,base,,Egg,,,,2017-07-18 10:36:36,,,,,"The three terms that perfectly describe out cheesecake are: perfect, creamy, and elegant! Our blueberry cheesecake flawlessly combines the acidic sweetness of blueberries with the creaminess of our rich cheesecake that sits on a buttery biscuit layer and is garnished with fresh cream. Light and fluffy, this delight will leave you asking for more",,Yes,,,0,/b/l/blueberry-cheese-cake_2.jpg,,Yes,,,,"the mid night gifts, cake delivery online, online cake delivery, jaipur, cakes, eggless cakes, designer cakes, online gifts, buy gifts online",,,,Use config,Use config,Blueberry cheese cake,,,Note: “Actual product design may differ than shown in the image” ,Block after Info Column,,400,0,1 Pounds Blueberry Cheese Cake,/b/l/blueberry-cheese-cake_2.jpg,,2017-07-18 00:00:00,379,,1,0,,/b/l/blueberry-cheese-cake_2.jpg,,2017-07-19 07:06:48,blueberry-cheese-cake,blueberry-cheese-cake-67.html,4,500,12,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,80,/b/l/blueberry-cheese-cake_1.jpg,,1,0
,,,,,Default Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,/b/l/blueberry-mousse_1.jpg,,2,0
,,,,,Default Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,/b/l/blueberry-cheese-cake_2.jpg,,3,0
,,,,,Default Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,Cake,simple,,Default Category,base,,Eggless,Brown,,,2017-07-18 10:44:26,,,,,"A hunting themed grooms cake complete with deer antler, shotgun shells and arrow on buttercream..",,No,,,0,/1/9/1981380ca62cecc824ea7595e0df446f--hunting-cakes-deer-hunting-cake.jpg,,Yes,,,"A hunting themed grooms cake complete with deer antler, shotgun shells and arrow on buttercream..","the mid night gifts, cake delivery online, online cake delivery, jaipur, cakes, eggless cakes, designer cakes, online gifts, buy gifts online",Chocolate Cake,,,Use config,Use config,Chocolate Hunting Themed Cake,,,Note: “Actual product design may differ than shown in the image” ,Block after Info Column,,300,0,1 Pounds Chocolate Hunting Themed Cake,/1/9/1981380ca62cecc824ea7595e0df446f--hunting-cakes-deer-hunting-cake.jpg,,2017-07-18 00:00:00,279,,1,0,,/1/9/1981380ca62cecc824ea7595e0df446f--hunting-cakes-deer-hunting-cake.jpg,,2017-07-19 07:04:14,chocolate-hunting-themed-cake,chocolate-hunting-themed-cake.html,4,1,12,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,80,/1/9/1981380ca62cecc824ea7595e0df446f--hunting-cakes-deer-hunting-cake.jpg,,1,0
,,,,,Default Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Default Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Default Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Default Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,Cake,simple,,Default Category,base,,Egg,,,,2017-07-18 09:22:55,,,,,A grand occasion and confused with the gift? So here we have a gorgeous vanilla cake with lovely floral topping just for your loved one. Don’t miss the chance to give away this extremely unique gift.,,Yes,,,0,/2/3/2312150410276394.jpg,,Yes,,,,"the mid night gifts, cake delivery online, online cake delivery, jaipur, cakes, eggless cakes, designer cakes, online gifts, buy gifts online",,,,Use config,Use config,Designer Vanila Cake ,,,Note: “Actual product design may differ than shown in the image” ,Block after Info Column,,349,0,1 Pounds Designer Vanilla Cake for your loved one!!,/2/3/2312150410276394.jpg,,2017-07-18 00:00:00,299,,1,0,,/2/3/2312150410276394.jpg,,2017-07-19 07:06:23,designer-vanila-cake,designer-vanila-cake.html,4,1,12,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,80,/2/3/2312150410276394.jpg,,1,0
